Bulan,Suhu,DPM Rata-rata,DPM Maksimum,DPM Minimum
 01 1999,24.17741935,30092.61419,40613.36,9725.4
 02 1999,23.97142857,33898.16893,40363.34,8823.81
 03 1999,24.28064516,32010.3429,40334.69,1194.58
 04 1999,24.13333333,36139.28767,39600,19013.41
 05 1999,23.59032258,38292.59323,39589.61,27711.09
 06 1999,23.19,39310.89833,39489.7,37124.4
 07 1999,22.53225806,39275.96839,39435.61,37822.19
 08 1999,22.37419355,39573.77,39600,39448.69
 09 1999,22.56333333,39995.89567,40932.21,39600
 10 1999,24.32258065,40136.16387,41820.11,29801.36
 11 1999,24.22333333,36326.362,41920.7,17644.82
 12 1999,24.3483871,32967.95097,41772.83,14200.03
 01 2000,23.94516129,29648.87097,41484.56,8289.86
 02 2000,23.95172414,30142.92034,40925.27,686.72
 03 2000,24.08387097,35318.87194,40038.94,20599.38
 04 2000,24.23333333,35814.815,39603.75,17417.37
 05 2000,24.14193548,38317.41903,39600,28800
 06 2000,23.17333333,38525.64467,39490.17,31795.2
 07 2000,22.44193548,39366.34548,39445.7,39332.82
 08 2000,22.59354839,39577.01871,39600,39458.8
 09 2000,23.33333333,39919.16533,40940.34,38588.18
 10 2000,24.60967742,37654.58774,41460.09,5636.37
 11 2000,24.64,35487.35833,41924.19,615.43
 12 2000,24.17419355,39101.71903,41827.57,23553.69
 01 2001,24.11290323,32076.9071,41617.5,3092.91
 02 2001,24.12142857,33610.04786,41350.23,5933.42
 03 2001,24.11290323,37763.2471,40416.04,26104.59
 04 2001,24.1,37431.329,39665.16,19680.31
 05 2001,23.96774194,39444.25129,39600,38925.2
 06 2001,23.26,37112.793,39488.3,9904.11
 07 2001,22.36774194,39365.38548,39440.02,39334.97
 08 2001,22.13870968,39575.66903,39600,39452.96
 09 2001,23.70333333,39975.193,40527.12,39600
 10 2001,24.70967742,39923.47065,41835.97,31802.61
 11 2001,24.84666667,36814.7,41922.62,16524.07
 12 2001,24.07419355,36352.76613,41652.81,5136.53
 01 2002,24.29677419,33030.05065,41720.65,754.01
 02 2002,24.05714286,32616.55071,41308.2,8017.14
 03 2002,24.4,36367.26161,41080.89,3507.74
 04 2002,24.21666667,36577.674,39672.18,2570.29
 05 2002,23.93870968,37850.68548,39600,11561.66
 06 2002,23.37333333,39437.74533,39488.04,39165.56
 07 2002,22.43225806,39355.19387,39437.7,39052.55
 08 2002,21.82903226,39575.04742,39600,39451.02
 09 2002,22.83333333,39870.578,40934.06,38285.22
 10 2002,23.18387097,41520.97548,41848.48,40645.27
 11 2002,25.35666667,39292.43067,41920.51,12466.43
 12 2002,24.89354839,36059.64774,42027.48,5157.53
 01 2003,24.51612903,32948.34097,41808.41,3532.07
 02 2003,24.43928571,30571.80857,40356.81,4277.94
 03 2003,24.28064516,37168.76419,40135.46,21546.84
 04 2003,24.76,39081.074,39661.47,28984.29
 05 2003,24.07096774,37887.32581,39600,12375.5
 06 2003,22.91666667,39356.914,39489.61,37187.35
 07 2003,22.13225806,39285.99226,39436.5,36946.82
 08 2003,22.46129032,39573.82516,39600,39449.46
 09 2003,23.28333333,39919.00033,40726.19,39600
 10 2003,24.74193548,40022.54839,41757.48,27214.34
 11 2003,25.07,37342.516,41922.39,21119.98
 12 2003,24.49677419,31226.46935,40248.49,3039.89
 01 2004,24.56774194,38473.72677,41478.27,24035.69
 02 2004,24.39655172,34923.52,41597.82,23225.2
 03 2004,24.44193548,31401.05581,39630.93,2309.87
 04 2004,24.58333333,39537.66867,39663.7,38123.17
 05 2004,24.85806452,38595.94935,39600,27535.9
 06 2004,22.91,38333.03033,39491.18,9376.92
 07 2004,22.85806452,39366.06,39446.07,39332.41
 08 2004,22.06774194,39561.60677,39600,39241.07
 09 2004,23.44666667,39968.677,40839.93,39600
 10 2004,23.90322581,41293.08161,41850.06,39600
 11 2004,25.24666667,38248.44733,41923.65,18165.58
 12 2004,24.59354839,31366.40742,41294.48,1250.66
 01 2005,24.4516129,37103.61871,41793.47,17091.94
 02 2005,24.64285714,38348.90107,41625.97,27566.31
 03 2005,24.62258065,35966.84,40449.83,18508.67
 04 2005,24.18,36153.252,39624.79,10721.26
 05 2005,23.98064516,39377.30968,39600,37301.81
 06 2005,24.04666667,39375.76933,39487.8,38434.67
 07 2005,23.22258065,39146.85323,39441.03,34942.92
 08 2005,23.18709677,39460.01645,39600,36482.48
 09 2005,24.01333333,39962.931,40730.18,39600
 10 2005,24.59354839,38894.12935,41823.47,23606.52
 11 2005,25.03333333,38644.66567,41921.8,5569.55
 12 2005,24.3483871,25777.8329,40763.07,0
